name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
1,0.756619145,0.532616487,0.625157762,1395,,,
2,0.821518987,0.56533101,0.669762642,1148,,,
accuracy,0.659182226,0.659182226,0.659182226,0.659182226,,,
macro avg,0.715418418,0.641851378,0.656220152,4231,,,
weighted avg,0.699023683,0.659182226,0.656642827,4231,,,
K-Nearest Neighbor,k= 23,0.664618294,0.71756086,0.462774758,0.613331994,0.011082926,0.092048168
Fit,Precision,Recall,f1-score,support,,,
0,0.569879518,0.84063981,0.679272379,1688,,,
1,0.766287487,0.531182796,0.627434378,1395,,,
2,0.842377261,0.567944251,0.678459938,1148,,,
accuracy,0.664618294,0.664618294,0.664618294,0.664618294,,,
macro avg,0.726181422,0.646588952,0.661722231,4231,,,
weighted avg,0.708574041,0.664618294,0.661960468,4231,,,
K-Nearest Neighbor,k= 25,0.665327346,0.71756086,0.462302056,0.613804528,0.006028336,0.10000062
Fit,Precision,Recall,f1-score,support,,,
0,0.570512821,0.843601896,0.680688337,1688,,,
1,0.771159875,0.529032258,0.62755102,1395,,,
2,0.83933162,0.568815331,0.678089304,1148,,,
accuracy,0.665327346,0.665327346,0.665327346,0.665327346,,,
macro avg,0.727001438,0.647149828,0.662109554,4231,,,
weighted avg,0.709606799,0.665327346,0.662463273,4231,,,
K-Nearest Neighbor,k= 27,0.662963838,0.723469629,0.465847317,0.61569606,0.009426433,0.087997913
Fit,Precision,Recall,f1-score,support,,,
0,0.567847195,0.845379147,0.679362057,1688,,,
1,0.770526316,0.524731183,0.624307036,1395,,,
2,0.841145833,0.56271777,0.674321503,1148,,,
accuracy,0.662963838,0.662963838,0.662963838,0.662963838,,,
macro avg,0.726506448,0.644276033,0.659330199,4231,,,
weighted avg,0.708826682,0.662963838,0.659842248,4231,,,
K-Nearest Neighbor,k= 29,0.664145592,0.720160719,0.463956511,0.611679659,0.011159649,0.082034111
Fit,Precision,Recall,f1-score,support,,,
0,0.568690096,0.843601896,0.679389313,1688,,,
1,0.772151899,0.524731183,0.624839949,1395,,,
2,0.839537869,0.569686411,0.678775298,1148,,,
accuracy,0.664145592,0.664145592,0.664145592,0.664145592,,,
macro avg,0.726793288,0.646006497,0.66100152,4231,,,
weighted avg,0.709262646,0.664145592,0.66123728,4231,,,
K-Nearest Neighbor,k= 31,0.667927204,0.712833845,0.458993146,0.609317547,0.012941007,0.092513084
Fit,Precision,Recall,f1-score,support,,,
0,0.571428571,0.855450237,0.685172005,1688,,,
1,0.780021254,0.526164875,0.628424658,1395,,,
2,0.849279161,0.56445993,0.678178964,1148,,,
accuracy,0.667927204,0.667927204,0.667927204,0.667927204,,,
macro avg,0.733576329,0.648691681,0.663925209,4231,,,
weighted avg,0.715592899,0.667927204,0.664564451,4231,,,
K-Nearest Neighbor,k= 33,0.667218152,0.722051524,0.462538407,0.614992143,0.016802067,0.084053278
Fit,Precision,Recall,f1-score,support,,,
0,0.569357367,0.860781991,0.685377358,1688,,,
1,0.79004329,0.523297491,0.629581716,1395,,,
2,0.847682119,0.557491289,0.672622176,1148,,,
accuracy,0.667218152,0.667218152,0.667218152,0.667218152,,,
macro avg,0.735694259,0.647190257,0.662527083,4231,,,
weighted avg,0.717637603,0.667218152,0.663520145,4231,,,
K-Nearest Neighbor,k= 35,0.668163555,0.706216025,0.456629638,0.613570912,0.012874641,0.085999489
Fit,Precision,Recall,f1-score,support,,,
0,0.571203156,0.857819905,0.685768411,1688,,,
1,0.779332616,0.518996416,0.623063683,1395,,,
2,0.853976532,0.570557491,0.684073107,1148,,,
accuracy,0.668163555,0.668163555,0.668163555,0.668163555,,,
macro avg,0.734837434,0.649124604,0.664301734,4231,,,
weighted avg,0.716550457,0.668163555,0.664634092,4231,,,
K-Nearest Neighbor,k= 37,0.670054361,0.703616166,0.454502482,0.608370804,0.011789621,0.087014675
Fit,Precision,Recall,f1-score,support,,,
0,0.572047244,0.860781991,0.687322611,1688,,,
1,0.782188841,0.522580645,0.6265578,1395,,,
2,0.860342556,0.568815331,0.684845307,1148,,,
accuracy,0.670054361,0.670054361,0.670054361,0.670054361,,,
macro avg,0.73819288,0.650725989,0.666241906,4231,,,
weighted avg,0.719556236,0.670054361,0.66661572,4231,,,
K-Nearest Neighbor,k= 39,0.668163555,0.704088868,0.455920586,0.611915229,0.009747525,0.087048292
Fit,Precision,Recall,f1-score,support,,,
0,0.56997256,0.861374408,0.686010852,1688,,,
1,0.779220779,0.516129032,0.620957309,1395,,,
2,0.863756614,0.568815331,0.68592437,1148,,,
accuracy,0.668163555,0.668163555,0.668163555,0.668163555,,,
macro avg,0.737649984,0.648772924,0.66429751,4231,,,
weighted avg,0.718676261,0.668163555,0.664538629,4231,,,
K-Nearest Neighbor,k= 41,0.667218152,0.703616166,0.456393288,0.612622774,0.009397493,0.104999304
Fit,Precision,Recall,f1-score,support,,,
0,0.568911511,0.860781991,0.68505422,1688,,,
1,0.773019272,0.517562724,0.620008587,1395,,,
2,0.872139973,0.56445993,0.685351666,1148,,,
accuracy,0.667218152,0.667218152,0.667218152,0.667218152,,,
macro avg,0.738023585,0.647601548,0.663471491,4231,,,
weighted avg,0.718482913,0.667218152,0.663688777,4231,,,
K-Nearest Neighbor,k= 43,0.668399905,0.703852517,0.455684235,0.612387204,0.013528625,0.101691008
