name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
2,0.897168405,0.524390244,0.661902144,1148,,,
accuracy,0.662018435,0.662018435,0.662018435,0.662018435,,,
macro avg,0.752290799,0.638071845,0.654814413,4231,,,
weighted avg,0.730369338,0.662018435,0.656508823,4231,,,
K-Nearest Neighbor,k= 119,0.659418577,0.744741196,0.475301347,0.58024037,0.01251809,0.090965033
Fit,Precision,Recall,f1-score,support,,,
0,0.555390886,0.888033175,0.683382722,1688,,,
1,0.800458716,0.500358423,0.615791795,1395,,,
2,0.898484848,0.516550523,0.655973451,1148,,,
accuracy,0.659418577,0.659418577,0.659418577,0.659418577,,,
macro avg,0.751444817,0.634980707,0.651715989,4231,,,
weighted avg,0.729283935,0.659418577,0.65366039,4231,,,
K-Nearest Neighbor,k= 121,0.660600331,0.74285039,0.473883243,0.578112152,0.009619022,0.103998661
Fit,Precision,Recall,f1-score,support,,,
0,0.556502408,0.889810427,0.684750399,1688,,,
1,0.802059497,0.502508961,0.617893345,1395,,,
2,0.899696049,0.515679443,0.65559247,1148,,,
accuracy,0.660600331,0.660600331,0.660600331,0.660600331,,,
macro avg,0.752752651,0.63599961,0.652745405,4231,,,
weighted avg,0.730583816,0.660600331,0.654795567,4231,,,
K-Nearest Neighbor,k= 123,0.659182226,0.746395651,0.476010399,0.57740377,0.00928252,0.103010893
Fit,Precision,Recall,f1-score,support,,,
0,0.555186416,0.890995261,0.684102797,1688,,,
1,0.801377727,0.500358423,0.616063548,1395,,,
2,0.901689708,0.511324042,0.652584769,1148,,,
accuracy,0.659182226,0.659182226,0.659182226,0.659182226,,,
macro avg,0.752751284,0.634225908,0.650917038,4231,,,
weighted avg,0.730374943,0.659182226,0.653117818,4231,,,
